"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Free Mobile,Orange,SFR,Volumétrie totale,Moyenne
2G/3G/4G/5G,Zones Touristiques,Tous usages,VOIX,Communications réussies et sans perturbations audibles,0.8921337178943702,0.823087431693989,0.927038498729452,0.8562638305559318,5814,0.8745357492954293
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,VOIX,Communications réussies et sans perturbations audibles,0.8687194288803116,0.8352613376722495,0.8996398914071174,0.8531180181153275,101346,0.8641637925668798
2G/3G/4G/5G,Zones rurales,Incar,VOIX,MOS Moyen,4.157107922201141,4.029266347687392,4.255391438658433,4.255026348612412,11104,4.176274529179243
2G/3G/4G/5G,Zones intermediaires,Incar,VOIX,MOS Moyen,4.366028940027891,4.327880562733279,4.438782120209551,4.409581724041422,9882,4.386117185309764
2G/3G/4G/5G,Zones denses,Incar,VOIX,MOS Moyen,4.459361716791976,4.3755997309761705,4.483003233830844,4.419862324393362,10834,4.434941432903693
2G/3G/4G/5G,Zones Touristiques,Incar,VOIX,MOS Moyen,4.401081831831831,4.305016744548286,4.438829646017699,4.387443438914024,1926,4.384047848244622
2G/3G/4G/5G,Toutes zones d'habitation,Incar,VOIX,MOS Moyen,4.342801258440742,4.259387664606284,4.400779405493001,4.368193431942239,33746,4.343611680687082
2G/3G/4G/5G,Zones rurales,Indoor,VOIX,MOS Moyen,4.367313391557491,4.291740290583954,4.456627393892349,4.452673521850907,11116,4.39328731135679
2G/3G/4G/5G,Zones intermediaires,Indoor,VOIX,MOS Moyen,4.440498873873886,4.45994465648854,4.508717079889817,4.4675139123103,9880,4.469393692652505
2G/3G/4G/5G,Zones denses,Indoor,VOIX,MOS Moyen,4.508655131114488,4.452272704016377,4.523422979797981,4.4727112756264225,10836,4.489401843405534
2G/3G/4G/5G,Zones Touristiques,Indoor,VOIX,MOS Moyen,4.492252923976612,4.424673798798793,4.5163849372384925,4.4331592920353975,1946,4.467564207650272
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,VOIX,MOS Moyen,4.445166344418642,4.4038772987768295,4.497416338016576,4.4628327130389955,33778,4.452789396444013
2G/3G/4G/5G,Zones rurales,Outdoor,VOIX,MOS Moyen,4.39009683465223,4.346364049362631,4.478668946301927,4.458210569105695,11138,4.419559843231814
2G/3G/4G/5G,Zones intermediaires,Outdoor,VOIX,MOS Moyen,4.474437001923617,4.4741671511627965,4.529729031385286,4.4926097611202715,9894,4.492914610322833
2G/3G/4G/5G,Zones denses,Outdoor,VOIX,MOS Moyen,4.533980922197368,4.492815071054606,4.548069423929101,4.511852142501247,10848,4.521770266914921
2G/3G/4G/5G,Zones Touristiques,Outdoor,VOIX,MOS Moyen,4.4788495077355845,4.457455967976708,4.560155462184878,4.485439814814817,1942,4.495900497512438
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,VOIX,MOS Moyen,4.469337112196733,4.440167500208367,4.521245772946828,4.488067314076995,33822,4.480080806986082
2G/3G/4G/5G,Zones rurales,Tous usages,VOIX,MOS Moyen,4.339873627696345,4.266202553027419,4.430435252156556,4.421578008729421,33358,4.365876024952207
2G/3G/4G/5G,Zones intermediaires,Tous usages,VOIX,MOS Moyen,4.439399927582797,4.442674805754082,4.504065237108263,4.466223830535477,29656,4.463354580652157
2G/3G/4G/5G,Zones denses,Tous usages,VOIX,MOS Moyen,4.508881492421696,4.45300799752242,4.524901836847164,4.476950072712521,32518,4.4911145828250225
2G/3G/4G/5G,Zones Touristiques,Tous usages,VOIX,MOS Moyen,4.472589936538806,4.41565834614968,4.518049230350488,4.442966824108309,5814,4.463090244370052
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,VOIX,MOS Moyen,4.4361624193483555,4.391892426892252,4.48925332757273,4.455471033202202,101346,4.4436902473318804
2G/3G/4G/5G,Zones rurales,Incar,SMS,Réception SMS <10s,0.8586232420429312,0.8473609129814551,0.8787446504992867,0.8607142857142858,11110,0.8613861386138614
2G/3G/4G/5G,Zones intermediaires,Incar,SMS,Réception SMS <10s,0.9845024469820555,0.9660743134087237,0.9870759289176091,0.9765751211631664,9880,0.9785425101214575
2G/3G/4G/5G,Zones denses,Incar,SMS,Réception SMS <10s,0.9947994056463596,0.9801470588235294,0.9897058823529412,0.9757174392935982,10850,0.9850691244239631
2G/3G/4G/5G,Zones Touristiques,Incar,SMS,Réception SMS <10s,0.9621848739495799,0.9385245901639344,0.9590163934426229,0.9631147540983607,1940,0.9556701030927836
2G/3G/4G/5G,Toutes zones d'habitation,Incar,SMS,Réception SMS <10s,0.9456861331410719,0.9297832233741753,0.9505183788878416,0.9372789436453667,33780,0.940793368857312
2G/3G/4G/5G,Zones rurales,Indoor,SMS,Réception SMS <10s,0.8638360175695461,0.8822269807280514,0.9236804564907275,0.860813704496788,11140,0.8827648114901256
2G/3G/4G/5G,Zones intermediaires,Indoor,SMS,Réception SMS <10s,0.9731051344743277,0.957258064516129,0.9854838709677419,0.9661290322580646,9894,0.97048716393774
2G/3G/4G/5G,Zones denses,Indoor,SMS,Réception SMS <10s,0.9852180339985218,0.9639705882352941,0.975735294117647,0.9786135693215339,10858,0.9758703260268926
2G/3G/4G/5G,Zones Touristiques,Indoor,SMS,Réception SMS <10s,0.9669421487603306,0.9098360655737705,0.9795081967213115,0.9426229508196722,1948,0.9496919917864476
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,SMS,Réception SMS <10s,0.9410219675262655,0.9319199057714959,0.9616109279321715,0.9339778354161754,33840,0.9421394799054373
2G/3G/4G/5G,Zones rurales,Outdoor,SMS,Réception SMS <10s,0.8980938416422287,0.9015691868758916,0.9393723252496433,0.900785153461813,11138,0.9100377087448375
2G/3G/4G/5G,Zones intermediaires,Outdoor,SMS,Réception SMS <10s,0.9911003236245954,0.9717741935483871,0.9951612903225806,0.9838449111470113,9908,0.9854662898667743
2G/3G/4G/5G,Zones denses,Outdoor,SMS,Réception SMS <10s,0.9970414201183432,0.9889705882352942,0.9941176470588236,0.9904200442151806,10858,0.9926321606188985
2G/3G/4G/5G,Zones Touristiques,Outdoor,SMS,Réception SMS <10s,0.9917695473251029,0.9631147540983607,0.9754098360655737,0.9834710743801653,1946,0.9784172661870504
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,SMS,Réception SMS <10s,0.9628128724672229,0.9536033914272256,0.9752708431464908,0.9584709768758849,33850,0.9625406203840473
2G/3G/4G/5G,Zones rurales,Tous usages,SMS,Réception SMS <10s,0.8743864963393378,0.8828633714862322,0.9214217784117926,0.8741209510213793,33388,0.8882926650956523
2G/3G/4G/5G,Zones intermediaires,Tous usages,SMS,Réception SMS <10s,0.9810030829423715,0.9635661490089807,0.9889750204109994,0.9737753400385638,29682,0.9768227636113711
2G/3G/4G/5G,Zones denses,Tous usages,SMS,Réception SMS <10s,0.9907560579797685,0.975,0.9841911764705882,0.9820663726147603,32566,0.9829907372904063
2G/3G/4G/5G,Zones Touristiques,Tous usages,SMS,Réception SMS <10s,0.9744250691467963,0.9323770491803278,0.9747267759562841,0.9596542925529513,5834,0.9602634351377045
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,SMS,Réception SMS <10s,0.9490629634423857,0.9387916205905191,0.9643154748295563,0.9426924006076105,101470,0.9487155082236198
2G/3G/4G/5G,Zones rurales,Tous usages,Whatsapp,Communications réussies,0.8326671511627907,0.8724449018276468,,0.837028560990231,2354,0.8473191070753057
2G/3G/4G/5G,Zones intermediaires,Tous usages,Whatsapp,Communications réussies,0.9560797162152642,0.9363538295577131,,0.9441416876218097,2096,0.9455582106870648
2G/3G/4G/5G,Zones denses,Tous usages,Whatsapp,Communications réussies,0.9753893898486339,0.9653588534650501,,0.9728906714200832,2420,0.971224487705218
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,Whatsapp,Communications réussies,0.9213864113607044,0.9244872813555722,,0.9176190952757481,13634,0.9211472833873617
2G/3G/4G/5G,Zones rurales,Tous usages,Whatsapp,Communications réussies et sans perturbations audibles,0.7976017441860466,0.7000314745657217,,0.7921017966074658,2354,0.7631568144380153
2G/3G/4G/5G,Zones intermediaires,Tous usages,Whatsapp,Communications réussies et sans perturbations audibles,0.8932942743144938,0.8085352698187176,,0.8946881926124765,2096,0.8655953947026197
2G/3G/4G/5G,Zones denses,Tous usages,Whatsapp,Communications réussies et sans perturbations audibles,0.9431689407891987,0.7913486005089059,,0.9187091503267973,2420,0.884412376932661
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,Whatsapp,Communications réussies et sans perturbations audibles,0.8784881570871288,0.7648809897784171,,0.8674687545863669,13634,0.8369393162945695
2G/3G/4G/5G,Zones rurales,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.7779880623089241,0.8171228887594641,0.8544184015140486,0.8093671679197995,26990,0.8148203038162283
2G/3G/4G/5G,Zones intermediaires,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9476548743396831,0.9516722675628101,0.9750320102432779,0.944831013916501,24780,0.9548829701372075
2G/3G/4G/5G,Zones denses,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9805637982195846,0.9630563798219585,0.9817507418397626,0.961703431372549,26748,0.9718483624943921
2G/3G/4G/5G,Zones Touristiques,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9193277310924369,0.9,0.9201680672268907,0.8915555555555555,4695,0.9079872204472843
2G/3G/4G/5G,Toutes zones d'habitation,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9012163831606956,0.9084905212144249,0.9347175369411318,0.9042494893638221,83213,0.9122613053248891
2G/3G/4G/5G,Zones rurales,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.7845814977973569,0.8373114658075853,0.8802342606149341,0.7937340966921119,26757,0.8246066449900961
2G/3G/4G/5G,Zones intermediaires,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9288968434754312,0.9321428571428572,0.950974025974026,0.9263552676440504,24332,0.9346950517836594
2G/3G/4G/5G,Zones denses,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9633874088406013,0.9327893175074184,0.9579931720350304,0.9435944985319116,26667,0.9494881313983575
2G/3G/4G/5G,Zones Touristiques,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9259882253994953,0.8848739495798319,0.9671717171717171,0.9284452296819788,4699,0.9265801234305171
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.8927338957055214,0.8987045269850376,0.9310542672722926,0.8899124360985979,82455,0.9032927051118792
2G/3G/4G/5G,Zones rurales,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.8242388586556847,0.8760984182776801,0.903485647334505,0.8402952261306532,26823,0.8614248965440108
2G/3G/4G/5G,Zones intermediaires,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9590110605074821,0.9612012987012987,0.9797044974833576,0.9523889636608345,24411,0.9631723403383721
2G/3G/4G/5G,Zones denses,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9907545481658216,0.9706231454005935,0.984711295829004,0.9698924731182795,26693,0.9790581800472034
2G/3G/4G/5G,Zones Touristiques,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9643765903307888,0.9184873949579831,0.9739495798319328,0.9524229074889868,4694,0.9522795057520239
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9255472350230415,0.9340281097619275,0.956105957731663,0.9223330159843663,82621,0.9346534174120381
2G/3G/4G/5G,Zones rurales,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.7967017121687273,0.8468756871229299,0.8836820796713102,0.811859985042907,80570,0.8352483386457563
2G/3G/4G/5G,Zones intermediaires,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9420612542968235,0.9450839060656631,0.9645605138553452,0.9381124573617202,73523,0.9475521343608216
2G/3G/4G/5G,Zones denses,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9753725201788386,0.9504451038575668,0.9708588082671437,0.9553786455341404,80108,0.9630715194639786
2G/3G/4G/5G,Zones Touristiques,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.93767426465875,0.8985994397759104,0.9615970630676512,0.9302895099299109,14088,0.9320477670404805
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9050854233872238,0.9121100536155654,0.9400153757035559,0.903108804938058,248289,0.9152410425807671
2G/3G/4G/5G,Zones rurales,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.6354636773911777,0.6346825859056494,0.7577522201193769,0.7216478696741855,26990,0.6867728788440163
2G/3G/4G/5G,Zones intermediaires,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8533696174163599,0.8258921427428388,0.9172535211267606,0.8610006626905236,24780,0.864406779661017
2G/3G/4G/5G,Zones denses,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.9311572700296736,0.8529673590504451,0.9422848664688427,0.9041053921568627,26748,0.9076566472259608
2G/3G/4G/5G,Zones Touristiques,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8302521008403362,0.7495798319327731,0.8605042016806723,0.832,4695,0.8178913738019169
2G/3G/4G/5G,Toutes zones d'habitation,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8058538439608477,0.7678529006509242,0.8700052263980614,0.8290738803367708,83213,0.8180692920577314
2G/3G/4G/5G,Zones rurales,Indoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.6690161527165932,0.6567579440620882,0.7932650073206442,0.7199427480916031,26757,0.7095713271293493
