"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Precision statistique,Free Mobile,Precision statistique.1,Orange,Precision statistique.2,SFR,Precision statistique.3,Volumétrie totale,Moyenne,Precision statistique.4
2G/3G/4G/5G,Zones Touristiques,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8863443596268024,0.018117401469913127,0.7840336134453781,0.023379919570449773,0.9294117647058824,0.014553010268568518,0.8845814977973568,0.018589374779445788,4694,0.8708990200255645,0.009592530729100818
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8490783410138248,0.004861163792657223,0.8108327755999618,0.0053074337961790344,0.899349717892321,0.004077644115127205,0.858044796312071,0.004842159402737659,82621,0.854286440493337,0.002405816992516988
2G/3G/4G/5G,Zones rurales,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.6765808699696761,0.00648150050183988,0.6716130253547059,0.0065686223084324554,0.7965527379645376,0.005551464846641327,0.7355852149713987,0.006447071794521853,80570,0.7198287791075113,0.0031572119481317242
2G/3G/4G/5G,Zones intermediaires,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8576388036542226,0.005265683250424652,0.8253380843965338,0.00575052666798881,0.9062809261706616,0.004616100828804828,0.8637203858467781,0.005278318837579648,73523,0.8632357884370037,0.002629861642921094
2G/3G/4G/5G,Zones denses,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.9345714535109457,0.0037475620132527473,0.8403313550939664,0.005476179619147035,0.9278653492009449,0.0039463684288419286,0.9017366765731373,0.004423209392232352,80108,0.9010851771244093,0.002242718809249395
2G/3G/4G/5G,Zones Touristiques,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8669605600072463,0.011188204729123569,0.7589635854341736,0.014420498259970483,0.9086084939026116,0.009342793652582225,0.8694812295366925,0.011231015915238368,14088,0.8507476965203753,0.005932992962990887
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 5s,0.8238247349040133,0.0030714195995941835,0.776210912681198,0.0034020900845648967,0.8775357240381803,0.002685356521826646,0.8356683262918523,0.0030833232938558353,248289,0.8282139356383814,0.0015429622778721846
2G/3G/4G/5G,Zones rurales,Indoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.7562408223201175,0.03224727803004059,0.7891654465592972,0.03059149099134642,0.8401759530791789,0.027502366758957092,0.7694566813509545,0.03163376421033279,2727,0.7887788778877888,0.015320036900187796
2G/3G/4G/5G,Zones intermediaires,Indoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.8943089430894309,0.02429860945356138,0.8831168831168831,0.02537176622571775,0.9155844155844156,0.02195463528547917,0.8907014681892332,0.02470012108597677,2460,0.8959349593495934,0.012066440853752988
2G/3G/4G/5G,Zones denses,Indoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.9419642857142857,0.017678129879646964,0.8931750741839762,0.02332011675271759,0.9436201780415431,0.017413520546641206,0.9344262295081968,0.018729768078833524,2691,0.9282794500185805,0.009749007314504631
2G/3G/4G/5G,Zones Touristiques,Indoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.907563025210084,0.05204078627175628,0.8991596638655462,0.054102600586194496,0.9327731092436975,0.04499270583396551,0.8991596638655462,0.054102600586194496,476,0.9096638655462185,0.02575276223774855
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.8653569717297557,0.014644833238106045,0.8565965583173997,0.01501907482964204,0.9010043041606887,0.012801198857507497,0.8656429942418427,0.014642215071857733,8354,0.8721570505147235,0.007160520208725199
2G/3G/4G/5G,Zones rurales,Outdoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.788235294117647,0.030708340195152475,0.8272327964860908,0.028352427161587757,0.8755490483162518,0.024756262024132416,0.8176470588235294,0.029022909036335528,2726,0.8272193690388848,0.014192242419159343
2G/3G/4G/5G,Zones intermediaires,Outdoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.9382113821138212,0.0190293126930372,0.926948051948052,0.020549881132880234,0.9675324675324676,0.013996618675061707,0.9317073170731708,0.019936336430988476,2462,0.9411047928513404,0.009299744489499677
2G/3G/4G/5G,Zones denses,Outdoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.9851190476190477,0.009154426803060488,0.9540059347181009,0.015814394193671134,0.9792284866468842,0.010767185919059123,0.9642857142857143,0.014031215200402276,2692,0.9706537890044576,0.006375683334792519
2G/3G/4G/5G,Zones Touristiques,Outdoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.9322033898305084,0.045360141062684003,0.8907563025210085,0.056048015238833356,0.957983193277311,0.03604732624328243,0.9243697478991597,0.04750652091891014,475,0.9263157894736842,0.023495030727220034
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,UL1,Taux de fichier de 1Mo envoyés (TFE),0.9040767386091128,0.012640599091693652,0.9010516252390057,0.012795415734336246,0.9407265774378585,0.010118984733560587,0.9046021093000959,0.012606574756431847,8355,0.9126271693596649,0.006055050144595014
2G/3G/4G/5G,Zones rurales,Tous usages,UL1,Taux de fichier de 1Mo envoyés (TFE),0.7722380582188823,0.02228143655226441,0.808199121522694,0.020879264918196937,0.8578625006977154,0.018524774196373845,0.7935518700872419,0.02150404425202117,5453,0.8079991234633368,0.010454309976085315
